m,t,P_m,P_m_prime,P_m_second,log_sum_increment
12,-8.000000000000000,0.058471275745254,0.000517579586262,0.000389630895542,
12,-6.000000000000000,0.060964076354966,0.002519891655668,0.002128590315264,
12,-5.000000000000000,0.064988812888901,0.006112270453051,0.005702264368332,
12,-4.000000000000000,0.075315338974112,0.016374423332866,0.016930855220870,
12,-3.000000000000000,0.104194150691795,0.046328739897042,0.046343671618997,
12,-2.478750785733960,0.135485490496362,0.075232788189702,0.063336715734882,
12,-2.000000000000000,0.179048986668872,0.107051387826917,0.067001044400839,
12,-1.000000000000000,0.316107712712034,0.162343650877890,0.040224292746096,
12,0.000000000000000,0.494353765620668,0.190713918222160,0.019503026884111,
12,1.000000000000000,0.693147180559945,0.205538799546217,0.011360651126652,
12,2.000000000000000,0.903650605184137,0.214864837919929,0.007701515553776,
12,5.000000000000000,1.574575504114153,0.230405954462218,0.003514680210574,
12,10.000000000000000,2.758972764029545,0.241635998860916,0.001390393289756,
16,-8.000000000000000,0.043853513651093,0.000388302306829,0.000292469036955,0.000000227368611
16,-6.000000000000000,0.045727078180900,0.001898798476093,0.001616447077062,0.000016083658703
16,-5.000000000000000,0.048780158869670,0.004673388372670,0.004487009019529,0.000154196811976
16,-4.000000000000000,0.056892279422607,0.013244505548632,0.014980059958258,0.001623100768090
16,-3.000000000000000,0.082219064970246,0.043538568405099,0.051726880049266,0.016293807805598
16,-2.478750785733960,0.113165510891830,0.077361124327966,0.076041013783374,0.046205572078236
16,-2.000000000000000,0.159208913030684,0.115045239352858,0.076797606476678,0.099688692116118
16,-1.000000000000000,0.306056854396827,0.171409558081533,0.035691916827892,0.275904279451206
16,0.000000000000000,0.491068366556406,0.195416091408723,0.016070356002674,0.481212169363620
16,1.000000000000000,0.693147180559945,0.207653164881353,0.009413635655879,0.693147180559945
16,2.000000000000000,0.904921419552665,0.215400211405712,0.006411393892099,0.908733862658249
16,5.000000000000000,1.573081742415315,0.228370594289704,0.002940713427726,1.568600457318800
16,10.000000000000000,2.742076866018273,0.237798229683372,0.001173144553526,2.691389171984458
20,-8.000000000000000,0.035082817127976,0.000310656065103,0.000234008020892,0.000000031035510
20,-6.000000000000000,0.036582342301615,0.001520695413376,0.001297284933186,0.000003398784472
20,-5.000000000000000,0.039032555675280,0.003760729515934,0.003648940792751,0.000042142897722
20,-4.000000000000000,0.045641898142875,0.010956569967950,0.013019190109138,0.000640373023948
20,-3.000000000000000,0.067888726811005,0.040461787695963,0.055094128486216,0.010567374174040
20,-2.478750785733960,0.098110776660753,0.078432952918499,0.087874615699138,0.037891839736442
20,-2.000000000000000,0.146006730688065,0.121360716958682,0.084417124008639,0.093198001317591
20,-1.000000000000000,0.299909839122795,0.177266165813389,0.031762385315202,0.275321778026668
20,0.000000000000000,0.489097059722832,0.198241602334182,0.013975207745807,0.481211832388535
20,1.000000000000000,0.693147180559945,0.208922162347617,0.008247329145075,0.693147180559945
20,2.000000000000000,0.905685078380296,0.215723431939163,0.005639300777109,0.908739713690819
20,5.000000000000000,1.572208331946015,0.227164139531678,0.002602919736889,1.568714690068818
20,10.000000000000000,2.732161465531958,0.235569636988805,0.001059511732125,2.692499863586699
24,-8.000000000000000,0.029235682019076,0.000258882722943,0.000195013311488,0.000000006474575
24,-6.000000000000000,0.030485451359983,0.001267677252034,0.001082210410851,0.000000996651824
24,-5.000000000000000,0.032529554317281,0.003140713631033,0.003060393044658,0.000014547527283
24,-4.000000000000000,0.038081866406158,0.009278321754186,0.011331757265040,0.000281707722572
24,-3.000000000000000,0.057764428604249,0.037468770736557,0.056945660823723,0.007142937570468
24,-2.478750785733960,0.087124225002564,0.078985805232321,0.099102489545104,0.032191466711620
24,-2.000000000000000,0.136530509341995,0.126651314121618,0.090178447342294,0.089149402611642
24,-1.000000000000000,0.295781763324185,0.181303716886829,0.028630711693163,0.275141384331138
24,0.000000000000000,0.487782853971628,0.200125717625625,0.012573876886160,0.481211825215609
24,1.000000000000000,0.693147180559945,0.209768176068698,0.007469870673450,0.693147180559946
24,2.000000000000000,0.906194232552155,0.215939001034983,0.005124682310335,0.908740003411453
24,5.000000000000000,1.571627557550551,0.226361015881337,0.002378436447166,1.568723685573228
24,10.000000000000000,2.725576076158815,0.234094298122316,0.000987088091756,2.692649129293095
28,-8.000000000000000,0.025059156268653,0.000221900140102,0.000167156015789,0.000000001766110
28,-6.000000000000000,0.026130438955939,0.001086722559388,0.000928002033973,0.000000364531673
28,-5.000000000000000,0.027883336412522,0.002694551161065,0.002630772730190,0.000006028983971
28,-4.000000000000000,0.032661123701598,0.008018828597934,0.009947480076821,0.000136667474235
28,-3.000000000000000,0.050222902546349,0.034684559346364,0.057656094373438,0.004973746198950
28,-2.478750785733960,0.078681624346291,0.079255013368611,0.109874688105759,0.028026020408655
28,-2.000000000000000,0.129383785139425,0.131219207737346,0.094331177569013,0.086503439924009
28,-1.000000000000000,0.292825029576792,0.184230493381481,0.026189671402580,0.275084627092430
28,0.000000000000000,0.486844135556099,0.201471562577608,0.011572335448964,0.481211825062925
28,1.000000000000000,0.693147180559945,0.210372472254866,0.006914546354021,0.693147180559945
28,2.000000000000000,0.906557916150739,0.216092983001886,0.004757103655002,0.908740017742238
28,5.000000000000000,1.571212819921946,0.225787450137027,0.002218162784770,1.568724394150317
28,10.000000000000000,2.720875087539838,0.233041881987646,0.000935891369118,2.692669155825982
32,-8.000000000000000,0.021926761807653,0.000194162823244,0.000146262069726,0.000000000580659
32,-6.000000000000000,0.022864153496103,0.000950937500280,0.000812160873681,0.000000155277252
32,-5.000000000000000,0.024398277367505,0.002358811148124,0.002305278582376,0.000002864052380
32,-4.000000000000000,0.028587525896020,0.007048418325296,0.008824000592265,0.000072341256977
32,-3.000000000000000,0.044388012556005,0.032145218563981,0.057518912039684,0.003543782623597
32,-2.478750785733960,0.071951689722858,0.079358138562972,0.120286436374624,0.024842147358826
32,-2.000000000000000,0.123801004871130,0.135228590525128,0.097104172472858,0.084721542993062
32,-1.000000000000000,0.290605224032575,0.186439400494448,0.024280473349056,0.275066585223053
32,0.000000000000000,0.486140096744046,0.202480951760879,0.010821102159743,0.481211825059674
32,1.000000000000000,0.693147180559945,0.210825694425238,0.006498053234609,0.693147180559945
32,2.000000000000000,0.906830678938272,0.216208469664070,0.004481419980692,0.908740018451009
32,5.000000000000000,1.570901773677722,0.225357283300706,0.002097964376480,1.568724449968158
32,10.000000000000000,2.717349698921041,0.232252774447133,0.000897591074962,2.692671978589456
