proposition	sec_introduction.tex:[165, 190]	prop:intro-class-product-calibration	aliases=[]	class=novel-increment	role=Introductory synopsis; forwards to proved body results.
proposition	sec_introduction.tex:[239, 276]	prop:intro-finite-state-transfer-split	aliases=[]	class=novel-increment	role=Introductory synopsis; forwards to proved body results.
theorem	sec_introduction.tex:[366, 392]	stmt:main-theorem-i-adams-mobius-linearisation	aliases=['thm:intro-adams-mobius-linearisation', 'thm:intro-finite-group', 'thm:intro-adams-mobius']	class=novel-increment	role=Introductory main theorem synopsis. Stable aliases are retained for reference compatibility.
theorem	sec_introduction.tex:[405, 430]	stmt:main-theorem-ii-class-mertens-constants	aliases=['thm:intro-class-mertens-constants', 'thm:intro-class-mertens']	class=novel-increment	role=Introductory main theorem synopsis. Stable aliases are retained for reference compatibility.
theorem	sec_introduction.tex:[443, 494]	stmt:main-theorem-iii-adams-frobenius-products	aliases=['thm:intro-adams-frobenius-products']	class=novel-increment	role=Introductory main theorem synopsis. Stable aliases are retained for reference compatibility.
proposition	sec_introduction.tex:[637, 663]	prop:intro-scalar-finite-part-computation	aliases=['thm:intro-finite-part']	class=novel-increment	role=Introductory synopsis; forwards to proved body results. Stable aliases are retained for reference compatibility.
corollary	sec_introduction.tex:[680, 694]	thm:intro-quotient-shadow	aliases=[]	class=novel-increment	role=Introductory synopsis; forwards to proved body results.
proposition	sec_preliminaries.tex:[96, 107]	prop:prelim-trace-primitive	aliases=[]	class=classical-input	role=Preliminary finite-state or scalar input.
lemma	sec_preliminaries.tex:[128, 141]	lem:pf-trace-bound	aliases=[]	class=classical-input	role=Preliminary finite-state or scalar input.
lemma	sec_preliminaries.tex:[176, 246]	lem:primitive-orbit-asymptotic	aliases=[]	class=classical-input	role=Preliminary finite-state or scalar input.
definition	sec_preliminaries.tex:[297, 302]	def:kernel-rh	aliases=[]	class=not-listed	role=Preliminary finite-state or scalar input.
proposition	sec_preliminaries.tex:[365, 395]	prop:finite-state-data-collection	aliases=['prop:finite-state-data-package']	class=novel-increment	role=Preliminary finite-state or scalar input. Stable aliases are retained for reference compatibility.
lemma	sec_preliminaries.tex:[450, 469]	lem:simple-eigenvalue-reduced-constant	aliases=[]	class=classical-input	role=Preliminary finite-state or scalar input.
definition	sec_preliminaries.tex:[498, 507]	def:abel-finite-part	aliases=[]	class=not-listed	role=Auxiliary scalar finite-part / fixed-matrix comparison package.
definition	sec_preliminaries.tex:[544, 566]	def:spectral-fingerprints	aliases=[]	class=not-listed	role=Auxiliary scalar finite-part / fixed-matrix comparison package.
proposition	sec_chebotarev.tex:[59, 83]	prop:main-theorem-i-assembly-map	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
proposition	sec_chebotarev.tex:[207, 216]	prop:class-indicator-expansion	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
proposition	sec_chebotarev.tex:[247, 273]	prop:kernel-peter-weyl-block-diagonalisation	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
lemma	sec_chebotarev.tex:[341, 372]	lem:twisted-gap-skew-product-peripheral	aliases=[]	class=novel-increment	role=Supporting theorem-like item retained in the current manuscript.
proposition	sec_chebotarev.tex:[423, 430]	prop:twisted-spectral-radius-bound	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
lemma	sec_chebotarev.tex:[499, 509]	lem:twisted-trace-identity	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
theorem	sec_chebotarev.tex:[560, 577]	thm:class-function-linearisation	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
lemma	sec_chebotarev.tex:[634, 644]	lem:class-logarithm-primitive-expansion	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
remark	sec_chebotarev.tex:[681, 697]	rem:ordinary-mobius-stops	aliases=[]	class=not-listed	role=Supporting theorem-like item retained in the current manuscript.
corollary	sec_chebotarev.tex:[699, 709]	cor:class-function-adams-mobius	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
theorem	sec_chebotarev.tex:[793, 831]	thm:fixed-label-euler-transform	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
proposition	sec_chebotarev.tex:[891, 924]	prop:logarithmic-channel-separation	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
lemma	sec_chebotarev.tex:[954, 1012]	lem:perron-boundary-trace-power-majorant	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
lemma	sec_chebotarev.tex:[1074, 1101]	lem:fixed-label-perron-double-majorant	aliases=[]	class=novel-increment	role=Main Theorem III Adams-corrected product spine.
remark	sec_chebotarev.tex:[1123, 1142]	rem:adams-mobius-literature-position	aliases=[]	class=not-listed	role=Supporting theorem-like item retained in the current manuscript.
lemma	sec_chebotarev_peter_weyl_bridge.tex:[35, 41]	lem:adams-coefficients-bounded	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
remark	sec_chebotarev_peter_weyl_bridge.tex:[65, 77]	rem:adams-coefficients-periodic	aliases=[]	class=not-listed	role=Supporting determinant, character, or analytic estimate.
corollary	sec_chebotarev_peter_weyl_bridge.tex:[79, 102]	cor:primitive-peter-weyl-determinant	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
remark	sec_chebotarev_peter_weyl_bridge.tex:[137, 162]	rem:abelian-toy-model-cyclic	aliases=[]	class=not-listed	role=Supporting theorem-like item retained in the current manuscript.
theorem	sec_chebotarev_peter_weyl_bridge.tex:[164, 175]	thm:primitive-peter-weyl-trace	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
corollary	sec_chebotarev_peter_weyl_bridge.tex:[191, 202]	cor:primitive-peter-weyl-trace	aliases=[]	class=novel-increment	role=Main Theorem I / Adams--Mobius determinant spine.
proposition	sec_chebotarev_peter_weyl_bridge.tex:[236, 256]	prop:class-primitive-decomposition	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
theorem	sec_chebotarev_peter_weyl_bridge.tex:[271, 291]	thm:class-count-trace-recovery	aliases=['thm:class-count-trace-readout', 'cor:class-artin-mobius-trace']	class=novel-increment	role=Main Theorem II class-Mertens Perron-point spine. Stable aliases are retained for reference compatibility.
lemma	sec_chebotarev_peter_weyl_bridge.tex:[356, 367]	lem:class-primitive-trivial-split	aliases=[]	class=novel-increment	role=Supporting determinant, character, or analytic estimate.
lemma	sec_chebotarev_peter_weyl_bridge.tex:[376, 401]	lem:nontrivial-peter-weyl-channel-bound	aliases=[]	class=novel-increment	role=Supporting theorem-like item retained in the current manuscript.
lemma	sec_chebotarev_peter_weyl_bridge.tex:[471, 480]	lem:nontrivial-perron-point-convergence	aliases=[]	class=novel-increment	role=Main Theorem II class-Mertens Perron-point spine.
