141	153	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution	True	155
180	197	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution	True	199
245	282	definition	def:architecture-axis-map	Architecture-axis map	Architecture	False	
284	298	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture	True	300
444	461	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture	True	463
483	499	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture	True	501
526	539	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture	True	541
556	586	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture	True	588
625	641	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture	True	643
712	891	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface	False	
893	923	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface	False	
925	937	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface	True	939
969	991	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface	False	
993	1031	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface	False	
1033	1053	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface	True	1055
1099	1133	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface	True	1135
1166	1191	theorem	thm:record-acceptance-exactness	Schema-relative finite-record acceptance exactness	Abstract finite-record interface	True	1193
1226	1243	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface	True	1245
1265	1286	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface	True	1288
1327	1357	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface	True	1359
1429	1452	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface	True	1454
1487	1511	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface	True	1513
1555	1562	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface	True	1564
1576	1606	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface	True	1608
1639	1666	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface	True	1668
1706	1730	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface	True	1732
1807	1845	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface	True	1847
1894	1899	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface	True	1901
1918	1936	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface	True	1938
1966	1979	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface	True	1981
2041	2057	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface	True	2059
2085	2168	theorem	thm:publication-safety-interface	Conditional finite-record safety interface under record-gate soundness	Abstract finite-record interface	True	2170
2269	2298	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface	True	2300
2351	2401	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface	True	2403
2472	2517	theorem	thm:presentation-scoped-boundary-normal-form	Scoped boundary normal form for the presentation package	Abstract finite-record interface	True	2519
2599	2627	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface	True	2629
2663	2680	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface	True	2682
2705	2725	corollary	cor:publication-safety-current-package-instance	Current-package source-level instance of the safety interface	Abstract finite-record interface	True	2727
2747	2761	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Abstract finite-record interface	True	2763
2794	2830	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Abstract finite-record interface	True	2832
2918	2957	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Primary-claim inventory audit	True	2959
3028	3073	theorem	thm:current-package-certificate-exactness	Current-package schema-relative finite-record certificate exactness	Current-package instantiation	True	3075
3141	3163	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Current-package instantiation	True	3165
3220	3236	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Current-package instantiation	True	3238
3262	3287	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Current-package instantiation	True	3289
3328	3359	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	Current-package instantiation	True	3361
3431	3442	lemma	lem:gate-witness-criterion	Gate-witness criterion	Case-study witness protocol	True	3444
3456	3480	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	Case-study witness protocol	True	3482
3584	3602	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	Case studies	True	3604
3710	3729	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	Primary--supplement interface	True	3731
3751	3765	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	Primary--supplement interface	True	3767
3793	3806	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	Primary--supplement interface	True	3808
3822	3842	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	Primary--supplement interface	True	3844
3865	3881	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	Primary--supplement interface	True	3883
3915	3931	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	Primary--supplement interface	True	3935
3977	3987	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	Primary--supplement interface	True	3991
4069	4092	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	Primary--supplement interface	True	4094
4136	4147	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	Primary--supplement interface	True	4149
4177	4202	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	Primary--supplement interface	True	4204
4252	4309	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	Primary--supplement interface	True	4311
4372	4397	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	Primary--supplement interface	True	4399
4435	4451	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	Primary--supplement interface	True	4453
4498	4531	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	Primary--supplement interface	True	4533
